SID,MAX_WIND_SPEED,MAX_WIND_PRESSURE
1956238N14143,110,0
1956242N16132,95,0
1956245N24140,135,0
1956257N18131,85,0
1956261N12129,140,0
1956263N15142,110,0
1956267N26141,65,0
1956288N11132,130,0
1956291N13154,40,0
1956314N08153,95,0
1956328N14129,75,0
1956329N09136,75,0
1956342N14128,85,0
1957003N07140,40,0
1957021N03152,135,0
1957101N05136,100,0
1957122N03154,120,0
1957168N05156,150,0
1957192N07141,90,0
1957223N08145,135,0
1957226N17119,55,0
1957238N14153,100,0
1957244N15210,120,0
1957249N18125,110,0
1957258N17147,120,0
1957261N10147,140,0
1957261N12135,90,0
1957276N09151,130,0
1957281N15118,75,0
1957284N13133,45,0
1957291N14155,130,0
1957309N11161,140,0
1957311N06171,160,0
1957321N06172,110,0
1958007N03171,140,0
1958143N06158,160,0
1958158N08151,75,0
1958164N12146,100,0
1958179N04158,75,0
1958189N11149,100,0
1958192N16135,150,0
1958194N05146,130,0
1958194N20115,60,0
1958203N09160,130,0
1958217N23152,75,0
1958232N12139,90,0
1958240N08146,165,0
1958251N10142,150,0
1958263N13148,175,0
1958263N20176,65,0
1958293N12128,100,0
1958295N10149,110,0
1958297N12161,120,0
1958325N11133,140,0
1958332N11139,45,0
1958335N05170,125,0
1959058N09141,50,0
1959063N06165,55,0
1959104N05149,125,0
1959190N08145,90,0
1959211N21148,100,0
1959222N15153,110,0
1959231N16130,90,0
1959236N10132,40,0
1959236N12139,170,0
1959241N12148,120,0
1959248N09160,35,0
1959248N13132,50,0
1959249N19181,150,0
1959254N14148,165,0
1959263N11160,165,0
1959274N09137,65,0
1959278N15118,40,0
1959281N09143,145,0
1959286N07168,150,0
1959305N06167,110,0
1959317N09137,115,0
1959346N06147,150,0
1959356N05152,130,0
1960112N09127,75,0
1960146N08131,45,0
1960154N12137,60,0
1960154N17116,80,0
1960173N08137,125,0
1960199N17129,115,0
1960207N22154,40,0
1960210N13134,135,0
1960215N11138,125,0
1960220N18140,85,0
1960223N21127,50,0
1960223N23136,75,0
1960227N21144,65,0
1960227N23126,75,0
1960230N13155,95,0
1960231N22117,75,0
1960235N10159,125,0
1960243N11137,45,0
1960248N15148,40,0
1960253N09153,40,0
1960268N22153,40,0
1960273N10142,90,0
1960282N21132,80,0
1960286N11163,115,0
1960294N13138,110,0
1960327N09161,135,0
1960346N07148,105,0
1961014N07141,40,0
1961058N06132,40,0
1961081N08148,130,0
1961100N10110,50,0
1961135N12121,75,0
1961141N09135,130,0
1961171N11115,70,0
1961173N09139,45,0
1961188N10147,80,0
1961193N12146,45,0
1961198N18134,40,0
1961204N12147,90,0
1961207N20143,80,0
1961213N12134,95,0
1961225N14143,80,0
1961231N12134,120,0
1961241N20155,50,0
1961247N15127,70,0
1961248N18155,155,0
1961250N07173,185,0
1961265N11156,70,0
1961269N11161,140,0
1961276N22152,180,0
1961291N08159,70,0
1961298N17166,75,0
1961312N14153,140,0
1961339N08137,130,0
1962033N06129,45,0
1962106N10143,130,0
1962135N07132,80,0
1962145N08133,60,0
1962187N17129,80,0
1962198N15124,80,0
1962202N20158,80,0
1962206N14140,75,0
1962209N13149,40,0
1962211N09153,145,0
1962217N10142,65,0
1962224N11151,160,0
1962226N22128,75,0
1962232N17149,115,0
1962236N20131,70,0
1962237N07155,95,0
1962241N14150,140,0
1962254N11123,55,0
1962261N15121,70,0
1962268N12144,100,0
1962272N10161,140,0
1962274N16158,100,0
1962292N11119,50,0
1962292N11139,115,0
1962300N12140,100,0
1962308N08138,90,0
1962311N06154,160,0
1962327N05144,100,0
1962335N10113,45,0
1962340N07141,50,0
1963116N08146,125,0
1963147N12135,70,0
1963158N20116,50,0
1963163N13135,140,0
1963167N09156,70,0
1963182N11144,50,0
1963190N15149,135,0
1963196N10146,85,0
1963207N13151,130,0
1963219N09146,125,0
1963235N17164,100,0
1963236N22137,100,0
1963240N09157,110,0
1963247N18145,135,0
1963251N13151,45,0
1963260N10153,40,0
1963270N08154,150,0
1963276N10140,135,0
1963279N07165,130,0
1963287N19164,100,0
1963291N12156,40,0
1963296N15164,80,0
1963343N10130,75,0
1963349N12131,40,0
1963352N02174,135,0
1964133N10134,85,0
1964143N13112,70,0
1964177N09142,100,0
1964178N12149,65,0
1964184N22133,110,0
1964187N07150,140,0
1964193N10145,80,0
1964196N17144,100,0
1964206N18128,80,0
1964208N17142,50,0
1964209N17150,130,0
1964215N07150,135,0
1964222N10144,40,0
1964224N25161,115,0
1964225N16139,35,0
1964225N18128,70,0
1964230N25156,35,0
1964234N20107,45,0
1964238N16172,50,0
1964245N20132,120,0
1964247N09159,170,0
1964256N17141,110,0
1964257N13118,75,0
1964261N12149,150,0
1964267N17120,50,0
1964269N12142,60,0
1964276N07142,80,0
1964278N07156,90,0
1964282N09168,45,0
1964287N13165,50,0
1964291N11143,45,0
1964295N07158,75,0
1964305N12128,65,0
1964309N11132,70,0
1964316N13117,80,0
1964319N08141,165,0
1964332N12120,55,0
1964344N06153,170,0
1965017N12126,65,0
1965021N07151,60,0
1965046N07114,45,0
1965046N09140,40,0
1965065N10128,40,0
1965101N06158,65,0
1965140N09134,100,0
1965149N18113,120,0
1965150N18109,80,0
1965161N09151,160,0
1965169N08142,50,0
1965187N08144,140,0
1965194N06156,60,0
1965200N10152,100,0
1965205N07163,140,0
1965208N14133,80,0
1965214N24139,60,0
1965226N17116,60,0
1965226N20139,150,0
1965227N12173,150,0
1965238N14144,150,0
1965241N19118,45,0
1965242N15139,100,0
1965244N09145,130,0
1965251N11143,130,0
1965256N13149,65,0
1965259N08153,50,0
1965266N12112,60,0
1965269N08156,150,0
1965274N09162,150,0
1965283N08168,85,0
1965309N08112,50,0
1965317N09169,135,0
1965352N09111,40,0
1966093N07166,85,0
1966130N06139,120,0
1966141N16117,85,0
1966171N09151,170,0
1966189N11127,50,0
1966195N18135,85,0
1966197N18143,65,0
1966204N16116,85,0
1966210N11113,45,0
1966214N15145,80,0
1966222N25140,90,0
1966223N16118,80,0
1966230N18149,90,0
1966230N27132,60,0
1966234N18169,60,0
1966236N13144,130,0
1966241N17147,150,0
1966247N17137,50,0
1966252N16151,75,0
1966252N17112,115,0
1966254N17160,60,0
1966259N15142,60,0
1966261N13158,100,0
1966262N11160,95,0
1966280N13154,100,0
1966299N10137,60,0
1966303N14168,100,0
1966321N09138,60,0
1966325N08140,45,0
1966358N07139,90,0
1967028N05140,40,0
1967059N02145,85,0
1967075N08148,60,0
1967091N04151,120,0
1967128N06137,40,0
1967175N10142,80,0
1967181N09148,75,0
1967183N20155,100,0
1967200N19148,60,0
1967206N15153,80,0
1967209N16113,60,0
1967209N17139,60,0
1967215N20166,60,0
1967222N10145,40,0
1967227N19144,55,0
1967228N14132,70,0
1967229N21164,55,0
1967235N18144,125,0
1967237N15140,70,0
1967241N15170,155,0
1967246N21124,50,0
1967248N23168,110,0
1967252N11211,130,0
1967253N29167,50,0
1967256N18163,45,0
1967259N17145,95,0
1967268N06165,80,0
1967280N20150,60,0
1967283N11150,160,0
1967289N09149,100,0
1967303N07150,140,0
1967310N11129,85,0
1967311N09160,130,0
1967320N10171,110,0
1967350N10135,60,0
1968097N05157,110,0
1968149N10150,100,0
1968178N13156,110,0
1968201N13152,130,0
1968202N19133,60,0
1968203N18119,45,0
1968217N17163,55,0
1968218N15141,60,0
1968227N14145,65,0
1968235N20138,55,0
1968237N21177,55,0
1968240N11173,150,0
1968240N15151,140,0
1968243N23120,65,0
1968256N16148,120,0
1968259N16152,110,0
1968266N06142,150,0
1968275N13161,145,0
1968286N07142,90,0
1968290N14118,55,0
1968292N09165,80,0
1968295N09169,120,0
1968300N10166,70,0
1968311N08165,105,0
1968314N08138,65,0
1968320N07168,70,0
1968325N05168,120,0
1969016N07177,85,0
1969066N05170,40,0
1969105N06148,105,0
1969187N09131,70,0
1969201N04151,130,0
1969208N12145,50,0
1969213N21140,45,0
1969216N09143,70,0
1969225N10150,85,0
1969241N10127,65,0
1969259N15165,150,0
